IDENTIFIER,val_TE_30,val_TE_60,val_TE_90,pval_TE_30,pval_TE_60,pval_TE_90
5_8S_rRNA,0,0,0,1,1,1
5_8S_rRNA,0,0,0,1,1,1
5_8S_rRNA,0,0,0,1,1,1
5_8S_rRNA,0,0,0,1,1,1
5_8S_rRNA,0,0,0,1,1,1
5_8S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
5S_rRNA,0,0,0,1,1,1
7SK,-0.567588,1.31477,2.610232,0.9132165,0.1054499,1.61E-08
7SK,0,0,0,1,1,1
7SK,0,0,0,1,1,1
7SK,0,0,0,1,1,1
7SK,0,0,0,1,1,1
7SK,0,0,0,1,1,1
7SK,0,0,0,1,1,1
7SK,0,0,0,1,1,1
7SK,0,0,0,1,1,1
7SK,0,0,0,1,1,1
7SK,0,0,0,1,1,1
7SK,0,0,0,1,1,1
7SK,0,0,0,1,1,1
A1BG,7.318956201,0.206845285,7.834936701,0.999968765,0.999993293,0.999921572
A1BG-AS1,1.84833704,1.042648079,0.115962876,0.999968765,0.999993293,0.999921572
A1CF,-11.72083209,-11.49299326,0,0.999968765,0.941480398,1
A2M,-0.512204715,-0.508192475,-0.436001371,0.557405163,0.778040933,0.969838649
A2M-AS1,-1.209782387,1.454186149,0.431751977,0.999968765,0.999993293,0.999921572
A2ML1,-3.378195332,0,3.884819804,0.999968765,1,0.999921572
A2ML1-AS1,0,0,0,1,1,1
A2ML1-AS2,0,0,0,1,1,1
A2MP1,0,-4.609894799,0,1,0.999993293,1
A3GALT2,-1.508520394,-1.006577602,0,0.999968765,0.999993293,1
A4GALT,0.1248608,-0.5364718,-0.5670132,0.9999688,0.9650729,0.9999216
A4GNT,0,0,0,1,1,1
AA06,0,0,0,1,1,1
AAAS,-0.135267788,-0.047406555,-0.472165498,0.999968765,0.999993293,0.899493578
AACS,0.009623,-0.1767285,-0.133125,0.9999688,0.9999933,0.9999216
AACSP1,2.356929,0,0,0.9999688,1,1
AADAC,0,0,0,1,1,1
AADACL2,0,0,0,1,1,1
AADACL2,0,0,0,1,1,1
AADACL2-AS1,0,0,0,1,1,1
AADACL2-AS1,0,0,0,1,1,1
AADACL3,0,0,0,1,1,1
AADACL4,0,0,0,1,1,1
AADACP1,0,0,0,1,1,1
AADAT,-0.017334459,-0.60407856,-0.622150388,0.999968765,0.999993293,0.999921572
AAED1,-0.02517206,-0.48728128,-0.6472071,0.9999688,0.9999933,0.9999216
AAGAB,0.130894871,-0.287328502,-0.501993812,0.999968765,0.999993293,0.999921572
AAK1,-0.085749716,-0.028974355,0.136873465,0.999968765,0.999993293,0.999921572
AAMDC,0.0535274,-0.29359987,-0.0077834,0.9999688,0.9999933,0.9999216
AAMP,-0.050327469,-0.065755086,-0.238970233,0.999968765,0.999993293,0.999921572
AANAT,5.714784837,0,0,0.999968765,1,1
AAR2,-0.0099561,-0.052323,-0.0716261,0.9999688,0.9999933,0.9999216
AARD,8.269533,0,0,0.9999688,1,1
AARS,-0.043926964,0.144510772,0.523328554,0.999968765,0.999993293,0.999921572
AARS2,-0.176298316,-0.0721351,0.09902405,0.9999688,0.9999933,0.9999216
AARSD1,0.65086523,0.4522997,-0.0159061,0.4049412,0.9172357,0.9999216
AARSP1,0,0,0,1,1,1
AASDH,0.185673561,-1.82959321,0.533253964,0.999968765,0.046847411,0.999921572
AASDHPPT,0.130028,0.892824,0.627541,0.9999688,0.9999933,0.9999216
AASS,0.30381994,2.1881017,-0.0400529,0.9999688,0.4125001,0.9999216
AATBC,0,0,0,1,1,1
AATF,-0.6381653,0.150408,0.5679191,0.7673385,0.9999933,0.9999216
AATF,0,0,0,1,1,1
AATK,0,0,0,1,1,1
AATK-AS1,0,0,0,1,1,1
AB015752.1,0,0,0,1,1,1
ABALON,0.9304501,0.9216811,0.134694,0.9999688,0.9999933,0.9999216
ABAT,1.164018732,0.857636591,0,0.999968765,0.999993293,1
ABBA01000935.1,0,0,0,1,1,1
ABBA01000935.2,0,0,0,1,1,1
ABBA01006766.1,0,0,0,1,1,1
ABBA01006766.2,0,0,0,1,1,1
ABBA01031660.1,0,0,0,1,1,1
ABBA01031661.1,0,0,0,1,1,1
ABBA01031663.1,0,0,0,1,1,1
ABBA01031674.1,0,0,0,1,1,1
ABBA01040607.1,0,0,0,1,1,1
ABCA1,0.706630451,-0.717186101,-0.902869374,0.999968765,0.999993293,0.999921572
ABCA10,0,-8.644409,0,1,0.9999933,1
ABCA11P,1.8250261,-0.646795,-1.102136,0.9999688,0.9999933,0.9999216
ABCA12,0,-5.795716604,0,1,0.999993293,1
ABCA13,0,-5.921439394,0,1,0.999993293,1
ABCA17P,-2.253825921,-3.967372551,-2.322519225,0.999968765,0.879703406,0.979586146
ABCA2,-0.2767027,-0.3117621,-0.5684916,0.9999688,0.9999933,0.9999216
ABCA3,0.065056908,-1.166949135,-0.428734282,0.999968765,0.304758664,0.999921572
ABCA4,-0.053732396,0.194199269,2.339686411,0.999968765,0.999993293,0.840309858
ABCA5,-1.0848764,-1.0862538,0.17619029,0.9999688,0.9215316,0.9999216
ABCA6,0.0930801,0,0,0.9999688,1,1
ABCA7,0.13276882,0.5164778,0.9008443,0.9999688,0.8145847,0.657515
ABCA8,0.1304911,0.9129473,2.0902084,0.9999688,0.9999933,0.8219045
ABCA9,5.242555,-7.092477,7.341776,0.9999688,0.9999933,0.9999216
ABCA9-AS1,0,0,0,1,1,1
ABCB1,1.234834449,0.572902377,1.229215648,0.999968765,0.999993293,0.892982162
ABCB10,0.4753741,0.9582628,1.7274009,0.9999688,0.7872245,0.7714863
ABCB10P1,0,0,0,1,1,1
ABCB10P1,0,0,0,1,1,1
ABCB10P1,0,0,0,1,1,1
ABCB10P3,0,0,0,1,1,1
ABCB10P3,0,0,0,1,1,1
ABCB10P4,0,0,0,1,1,1
ABCB10P4,0,0,0,1,1,1
ABCB10P4,0,0,0,1,1,1
ABCB11,0,-10.31647991,0,1,0.999993293,1
ABCB11,0,0,0,1,1,1
ABCB4,0,0,0,1,1,1
ABCB5,7.49166052,-1.117721621,-0.759398821,0.999968765,0.999993293,0.999921572
ABCB6,-0.024738744,0.05894213,-0.3756315,0.9999688,0.9999933,0.9999216
ABCB7,0.293010713,0.098393084,0.299086579,0.999968765,0.999993293,0.999921572
ABCB8,0.1009463,-0.0251498,0.02075177,0.9999688,0.9999933,0.9999216
ABCB9,-1.658460473,-0.500662072,0.866626313,0.9807383,0.999993293,0.999921572
ABCC1,-0.043206025,-0.124221204,-0.494666879,0.999968765,0.999993293,0.848274814
ABCC1,0,0,0,1,1,1
ABCC10,0.038517101,-0.065034397,-0.101244153,0.999968765,0.999993293,0.999921572
ABCC11,10.148517,1.958028,0,0.0536647,0.9999933,1
ABCC12,0,0,0,1,1,1
ABCC13,0,0,0,1,1,1
ABCC2,4.222562196,0.013485848,-1.999056918,0.786712216,0.999993293,0.999921572
ABCC3,-0.2243522,-0.1841838,-0.9905269,0.9999688,0.9999933,0.2108627
ABCC4,-0.632434907,-0.305941223,-0.664771778,0.24444632,0.999993293,0.999921572
ABCC5,0.301391187,-0.10857855,0.000848606,0.999968765,0.999993293,0.999921572
ABCC5-AS1,0,0,0,1,1,1
ABCC6,1.057783602,2.467301907,-2.570216325,0.999968765,0.999993293,0.999921572
ABCC6,0,0,0,1,1,1
ABCC6P1,0,0,0,1,1,1
ABCC6P2,0,0,0,1,1,1
ABCC6P2,0,0,0,1,1,1
ABCC8,1.2593744,0,0,0.9999688,1,1
ABCC9,1.992483599,0,11.28406339,0.999968765,1,0.979586146
ABCD1,0.050217817,-0.047678874,-0.050869592,0.999968765,0.999993293,0.999921572
ABCD1P2,0,0,0,1,1,1
ABCD1P3,0,0,0,1,1,1
ABCD1P4,0,0,0,1,1,1
ABCD1P5,0,0,0,1,1,1
ABCD2,0,0,0.088010774,1,1,0.999921572
ABCD3,-0.211059976,-0.316419761,-0.189541667,0.999968765,0.999993293,0.999921572
ABCD4,-0.398101836,0.526959984,0.079107028,0.999968765,0.999993293,0.999921572
ABCE1,0.716761349,0.577748957,-0.23164705,0.999968765,0.999993293,0.999921572
ABCF1,-0.1520165,-0.1274918,-0.2395233,0.9999688,0.9999933,0.9999216
ABCF1,0,0,0,1,1,1
ABCF1,0,0,0,1,1,1
ABCF1,0,0,0,1,1,1
ABCF1,0,0,0,1,1,1
ABCF1,0,0,0,1,1,1
ABCF1,0,0,0,1,1,1
ABCF2,0.044123,-0.0761519,-0.5259757,0.9999688,0.9999933,0.8770154
ABCF2P1,0,0,0,1,1,1
ABCF2P2,0,0,0,1,1,1
ABCF3,0.408633479,0.541796321,0.601521845,0.999968765,0.668943205,0.880460548
ABCG1,-0.379087887,-0.586100715,-0.3882811,0.999968765,0.742931354,0.999921572
ABCG2,-1.069589248,-1.460825137,3.486302835,0.999968765,0.999993293,0.979586146
ABCG4,0,11.013096,0,1,0.9999933,1
ABCG5,0,0,0,1,1,1
ABCG8,0,0,0,1,1,1
ABHD1,0.036170594,0,0,0.999968765,1,1
ABHD10,-0.094635056,-0.11627035,-0.528382504,0.999968765,0.999993293,0.999921572
ABHD11,-0.504975254,-0.24008609,-0.594205822,0.999968765,0.999993293,0.999921572
ABHD11-AS1,0,0,0,1,1,1
ABHD12,-0.285165165,-0.049913159,-0.131780158,0.999968765,0.999993293,0.999921572
ABHD12B,3.71758371,0,-2.154554236,0.999968765,1,0.999921572
ABHD13,0.196320083,0.142787596,-0.425148877,0.999968765,0.999993293,0.999921572
ABHD14A,-0.256024381,0.025154145,-0.597526834,0.999968765,0.999993293,0.999921572
ABHD14A-ACY1,-2.378630984,-3.498656201,-0.342066951,0.218498776,0.687995273,0.999921572
ABHD14B,-0.126164739,-0.026128969,0.638814438,0.999968765,0.999993293,0.999921572
ABHD15,0.017557652,0.138739851,0.867307842,0.999968765,0.999993293,0.999921572
ABHD15-AS1,0,0,0,1,1,1
ABHD16A,-0.268044988,-0.278260653,-0.182268724,0.999968765,0.999993293,0.999921572
ABHD16A,0,0,0,1,1,1
ABHD16A,0,0,0,1,1,1
ABHD16A,0,0,0,1,1,1
ABHD16A,0,0,0,1,1,1
ABHD16A,0,0,0,1,1,1
ABHD16A,0,0,0,1,1,1
ABHD16B,0,0,0,1,1,1
ABHD17A,0.117029715,-1.452031458,-2.937469852,0.999968765,0.999993293,0.999921572
ABHD17AP1,0,0,0,1,1,1
ABHD17AP3,0,0,0,1,1,1
ABHD17AP4,0,0,0,1,1,1
ABHD17AP5,0,0,0,1,1,1
ABHD17AP6,0,0,0,1,1,1
ABHD17AP7,0,0,0,1,1,1
ABHD17AP8,0,0,0,1,1,1
ABHD17AP9,0,0,0,1,1,1
ABHD17B,0.312176008,-0.042505682,-0.237751782,0.999968765,0.999993293,0.999921572
ABHD17C,0.3962886,0.232538,-0.3872331,0.9999688,0.9999933,0.9999216
ABHD18,0.2065994,0.3715177,0.3404422,0.9999688,0.9999933,0.9999216
ABHD2,0.478227647,-0.517529292,-0.976923195,0.818951231,0.999993293,0.88931741
ABHD3,-0.322847186,-0.197617569,-0.605652312,0.999968765,0.999993293,0.999921572
ABHD4,-0.354061444,-0.462306705,-0.28990973,0.8553914,0.699340489,0.999921572
ABHD5,-0.0319834,-0.0513906,-0.450615,0.9999688,0.9999933,0.9999216
ABHD6,0.286330038,-0.063175399,-0.629956365,0.999968765,0.999993293,0.999921572
ABHD8,-0.089157933,-0.589575882,-0.902637029,0.999968765,0.973702487,0.999921572
ABI1,0.256160646,0.423393422,-0.051088918,0.999968765,0.932383317,0.999921572
ABI1P1,0,0,0,1,1,1
ABI2,3.020583822,2.548347482,3.055901478,0.958741454,0.358530308,0.552411386
ABI3,0,0,0,1,1,1
ABI3BP,-1.42221727,2.26305914,-3.541549184,0.999968765,0.999993293,0.999921572
ABL1,-0.079299035,0.464181598,0.376762809,0.999968765,0.772714036,0.999921572
ABL2,0.1376123,-0.0739436,-0.1151726,0.9999688,0.9999933,0.9999216
ABLIM1,-0.390444918,-0.452401538,-0.023768188,0.999968765,0.858303791,0.999921572
ABLIM2,0.189466052,0.418920281,-0.527079632,0.999968765,0.999993293,0.999921572
ABLIM3,0.225757188,0.399430739,-1.991225234,0.999968765,0.999993293,0.999921572
ABO,0,0,0,1,1,1
ABO,0,0,0,1,1,1
ABR,2.250673544,0.285044755,-0.451506586,0.37996198,0.999993293,0.999921572
ABR,0,0,0,1,1,1
ABR,0,0,0,1,1,1
ABRA,0,0,0,1,1,1
ABRACL,0.5564618,0.2150378,0.4516362,0.9999688,0.9999933,0.9999216
ABT1,-0.043870334,0.302237599,0.0776325,0.999968765,0.999993293,0.999921572
ABT1P1,0,0,0,1,1,1
ABTB1,-0.47005105,0.304829095,-0.099795924,0.96188965,0.999993293,0.999921572
ABTB2,0.0856114,0.1823409,0.547893215,0.9999688,0.9999933,0.9999216
AC000032.1,0,0,0,1,1,1
AC000035.1,0,0,0,1,1,1
AC000036.1,0,0,0,1,1,1
AC000041.1,0,0,0,1,1,1
AC000041.2,0,0,0,1,1,1
AC000058.1,0,0,0,1,1,1
AC000061.1,0,0,0,1,1,1
AC000067.1,0,0,0,1,1,1
AC000068.1,-1.148314246,-1.349962486,-0.219531392,0.999968765,0.999993293,0.999921572
AC000068.2,0,0,0,1,1,1
AC000068.3,0,0,0,1,1,1
AC000077.1,0,0,0,1,1,1
AC000078.1,0,0,0,1,1,1
AC000081.1,0,0,0,1,1,1
AC000089.1,2.0055793,-1.08208,0,0.9999688,0.9999933,1
AC000095.1,0,0,0,1,1,1
AC000095.2,0,0,0,1,1,1
AC000099.1,0,0,0,1,1,1
AC000111.1,0,0,0,1,1,1
AC000111.2,0,0,0,1,1,1
AC000111.3,0,0,0,1,1,1
AC000120.1,-7.965702022,0,0,0.999968765,1,1
AC000123.1,0,0,0,1,1,1
AC000123.2,0,0,0,1,1,1
AC000123.3,0,0,0,1,1,1
AC000124.1,0,0,0,1,1,1
AC000362.1,0,0,0,1,1,1
AC000367.1,0,0,0,1,1,1
AC000372.1,0,0,0,1,1,1
AC000374.1,0,0,0,1,1,1
AC000403.1,0,0,0,1,1,1
AC001226.1,0,0,0,1,1,1
AC001226.2,0,0,0,1,1,1
AC001228.1,0,0,0,1,1,1
AC001228.2,0,0,0,1,1,1
AC002044.1,0,0,0,1,1,1
AC002044.2,0,0,0,1,1,1
AC002044.3,0,0,0,1,1,1
AC002056.1,0,0,0,1,1,1
AC002056.2,0,0,0,1,1,1
AC002056.3,0,0,0,1,1,1
AC002059.1,0,0,0,1,1,1
AC002064.1,0,0,0,1,1,1
AC002064.2,0,0,0,1,1,1
AC002064.3,0,0,0,1,1,1
AC002066.1,0,0,0,1,1,1
AC002069.1,0,0,0,1,1,1
AC002069.2,0,0,0,1,1,1
AC002070.1,0,0,0,1,1,1
AC002075.1,0,0,0,1,1,1
AC002075.2,0,0,0,1,1,1
AC002076.1,1.58657,-0.677183,0,0.9999688,0.9999933,1
AC002076.2,0,0,0,1,1,1
AC002090.1,0,0,0,1,1,1
AC002091.1,0,0,0,1,1,1
AC002091.2,0,0,0,1,1,1
AC002094.1,-7.376154893,6.117952583,0,0.999968765,0.999993293,1
AC002094.2,0,0,0,1,1,1
AC002094.3,0,0,0,1,1,1
AC002094.4,0,0,0,1,1,1
AC002094.5,0,0,0,1,1,1
AC002101.1,0,0,0,1,1,1
AC002115.1,0,0,0,1,1,1
AC002115.2,0,0,0,1,1,1
AC002116.1,0,0,0,1,1,1
AC002116.2,0.486419276,-0.282984971,0.568894401,0.999968765,0.999993293,0.999921572
AC002127.1,0,0,0,1,1,1
AC002127.2,0,0,0,1,1,1
AC002128.1,0,0,0,1,1,1
AC002128.2,0,0,0,1,1,1
AC002306.1,0,0,0,1,1,1
AC002310.1,-0.040611555,0.107225912,0.211938189,0.999968765,0.999993293,0.999921572
AC002310.2,0,0,-6.145304711,1,1,0.999921572
AC002310.3,0,0,0,1,1,1
AC002310.4,0,0,0,1,1,1
AC002310.5,-8.045143637,6.06740357,0.184340129,0.440782856,0.999993293,0.999921572
AC002310.6,0.334670314,0.679027736,2.002638393,0.999968765,0.999993293,0.995915584
AC002347.1,0,0,0,1,1,1
AC002347.2,0,0,0,1,1,1
AC002350.1,0,0,0,1,1,1
AC002350.2,-0.8713538,0.352315,0.200059,0.9999688,0.9999933,0.9999216
AC002351.1,0,0,0,1,1,1
AC002366.1,0,0,0,1,1,1
AC002367.1,0,0,0,1,1,1
AC002368.1,0,0,0,1,1,1
AC002375.1,0,0,0,1,1,1
AC002378.1,0,0,0,1,1,1
AC002381.1,0,0,0,1,1,1
AC002383.1,0,0,0,1,1,1
AC002384.1,0,0,0,1,1,1
AC002384.2,0,0,0,1,1,1
AC002386.1,0,0,0,1,1,1
AC002398.1,0,0,0,1,1,1
AC002398.2,0,0,0,1,1,1
AC002400.1,0,0,0,1,1,1
AC002401.1,0,0,0,1,1,1
AC002401.2,0,0,0,1,1,1
AC002401.3,0,0,0,1,1,1
AC002401.4,0,0,0,1,1,1
AC002407.1,0,0,0,1,1,1
AC002428.1,0,0,0,1,1,1
AC002428.2,0,0,0,1,1,1
AC002429.1,0,0,0,1,1,1
AC002429.2,1.2170279,-0.207337,1.021603,0.9999688,0.9999933,0.9999216
AC002451.1,0.001966204,-1.016379079,0,0.999968765,0.999993293,1
AC002451.2,0,0,0,1,1,1
AC002454.1,0.265204827,0,-1.466121317,0.999968765,1,0.999921572
AC002456.1,0.5469872,-1.7310422,-0.3986732,0.9999688,0.8583038,0.9999216
AC002456.2,0,0,0,1,1,1
AC002460.1,0,0,0,1,1,1
AC002463.1,1.9600704,0,0,0.9999688,1,1
AC002464.1,0,0,0,1,1,1
AC002465.1,0,0,0,1,1,1
AC002467.1,-0.5765363,-1.325883,0.2851649,0.9999688,0.9999933,0.9999216
AC002470.1,0,0,0,1,1,1
AC002472.1,0,0,0,1,1,1
AC002472.2,0,0,0,1,1,1
AC002472.3,0,0,0,1,1,1
AC002480.1,0,0,0,1,1,1
AC002480.2,1.069902373,0,0,0.999968765,1,1
AC002480.3,0,0,0,1,1,1
AC002480.4,0,0,0,1,1,1
AC002486.1,0,0,0,1,1,1
AC002486.2,0,0,0,1,1,1
AC002487.1,0,0,0,1,1,1
AC002504.1,0,0,0,1,1,1
AC002511.1,0,0,0,1,1,1
AC002511.2,0,0,0,1,1,1
AC002511.3,0,0,0,1,1,1
AC002519.1,10.86398568,0,0,0.999968765,1,1
AC002519.2,0,0,0,1,1,1
AC002524.1,0,0,0,1,1,1
AC002525.1,0,0,0,1,1,1
AC002540.1,0,0,0,1,1,1
AC002542.1,0,0,0,1,1,1
AC002543.1,0,0,0,1,1,1
AC002545.1,0,0,0,1,1,1
AC002546.1,0,0,0,1,1,1
AC002546.2,0,0,0,1,1,1
AC002550.1,0,0,0,1,1,1
AC002550.2,0,0,0,1,1,1
AC002551.1,0,0,0,1,1,1
AC002553.1,0,0,0,1,1,1
AC002553.2,0,0,0,1,1,1
AC002553.3,0,0,0,1,1,1
AC002553.4,0,0,0,1,1,1
AC002558.1,0,0,0,1,1,1
AC002558.2,0,0,0,1,1,1
AC002558.3,0,0,0,1,1,1
AC002563.1,0,0,0,1,1,1
AC002984.1,0,0,0,1,1,1
AC002985.1,-7.011136101,9.006646967,0,0.22820771,0.999993293,1
AC002985.2,0,0.688488837,0,1,0.999993293,1
AC002996.1,6.925326,3.443255,9.4927921,0.9999688,0.8597976,0.9999216
AC003001.1,0,0,0,1,1,1
AC003001.2,0,0,0,1,1,1
AC003002.1,0.231907105,0.129339619,0.034115944,0.999968765,0.999993293,0.999921572
AC003002.2,0,0,0,1,1,1
AC003002.3,0,0,0,1,1,1
AC003002.4,-1.401239413,-0.424608645,0.835526673,0.999968765,0.999993293,0.999921572
AC003005.1,0,0,0,1,1,1
AC003005.2,-6.174162326,0,0,0.999968765,1,1
AC003006.1,0,0,0,1,1,1
AC003009.1,0,0,0,1,1,1
AC003029.1,0,0,0,1,1,1
AC003035.1,-4.898854791,0,0,0.999968765,1,1
AC003035.2,0,0,0,1,1,1
AC003042.1,0,0,0,1,1,1
AC003042.2,0,0,0,1,1,1
AC003043.1,0,0,0,1,1,1
AC003045.1,0,0,0,1,1,1
AC003070.1,0,0,0,1,1,1
AC003070.2,0,0,0,1,1,1
AC003070.3,0,0,0,1,1,1
AC003070.4,0,0,0,1,1,1
AC003071.1,0,0,0,1,1,1
AC003071.2,0,0,0,1,1,1
AC003072.1,0,0,0,1,1,1
AC003075.1,0.666491187,-1.628433646,-3.597131941,0.999968765,0.976033358,0.732317613
AC003080.1,0,0,0,1,1,1
AC003084.1,0,0,0,1,1,1
AC003087.1,0,0,0,1,1,1
AC003092.1,0,0,0,1,1,1
AC003092.2,0,0,0,1,1,1
AC003098.1,0,0,0,1,1,1
AC003101.1,0,0,0,1,1,1
AC003101.2,0,0,0,1,1,1
AC003101.3,0,0,0,1,1,1
AC003102.1,-0.377033481,1.77878217,-0.015416546,0.999968765,0.999993293,0.999921572
AC003102.2,0,0,0,1,1,1
AC003103.1,0,0,0,1,1,1
AC003103.2,0,0,0,1,1,1
AC003659.1,0,0,0,1,1,1
AC003666.1,0,0,0,1,1,1
AC003669.1,0,0,0,1,1,1
AC003681.1,0.356135,-0.333441,11.743929,0.9999688,0.9999933,0.59826
AC003682.1,0,0,0,1,1,1
AC003684.1,0,0,0,1,1,1
AC003685.1,0,0,0,1,1,1
AC003685.2,0,0,0,1,1,1
AC003686.1,0,0,0,1,1,1
AC003687.1,0,0,0,1,1,1
AC003688.1,0,0,0,1,1,1
AC003688.2,0,0,0,1,1,1
AC003956.1,0,0,0,1,1,1
AC003957.1,0,0,0,1,1,1
AC003958.1,0,0,0,1,1,1
AC003958.2,0,0,0,1,1,1
AC003958.3,0,0,0,1,1,1
AC003958.4,0,0,0,1,1,1
AC003958.5,0,0,0,1,1,1
AC003965.1,-0.124984904,0.877715887,-0.324583669,0.999968765,0.999993293,0.999921572
AC003965.2,0,0,0,1,1,1
AC003965.3,0,0,0,1,1,1
AC003973.1,0,0,0,1,1,1
AC003973.2,0,0,0,1,1,1
AC003973.3,0,0,0,1,1,1
AC003975.1,0,0,0,1,1,1
AC003976.1,0,0,0,1,1,1
AC003976.2,0,0,0,1,1,1
AC003982.1,0,0,0,1,1,1
AC003982.2,0,0,0,1,1,1
AC003984.1,0,0,0,1,1,1
AC003985.1,0,0,0,1,1,1
AC003985.2,0,0,0,1,1,1
AC003986.1,0,0,0,1,1,1
AC003986.2,0,0,0,1,1,1
