geneID,Ribo_7451184_EGF_60_min_Rep_2,Ribo_7451185_EGF_90_min_Rep_2,Ribo_7451188_PBS_90_min_Rep_2,Ribo_7451189_EGF_30_min_Rep_2,Ribo_7451190_PBS_30_min_Rep_1,Ribo_7451191_PBS_60_min_Rep_1,Ribo_7451192_PBS_90_min_Rep_1,Ribo_7451193_EGF_30_min_Rep_1,Ribo_7451194_EGF_60_min_Rep_1,Ribo_7451195_EGF_90_min_Rep_1,Ribo_7451196_PBS_30_min_Rep_2,Ribo_7451197_PBS_60_min_Rep_2,RNA_7451178_PBS_30_min_Rep_2,RNA_7451179_PBS_60_min_Rep_2,RNA_7451180_PBS_90_min_Rep_1,RNA_7451181_EGF_30_min_Rep_1,RNA_7451182_EGF_60_min_Rep_1,RNA_7451183_EGF_90_min_Rep_1,RNA_7451186_PBS_30_min_Rep_1,RNA_7451187_PBS_60_min_Rep_1,RNA_7451198_EGF_30_min_Rep_2,RNA_7451199_PBS_90_min_Rep_2,RNA_7451200_EGF_90_min_Rep_2,RNA_7451201_EGF_60_min_Rep_2
ENSG00000104177,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ENSG00000171295,24,30,16,79,67,57,50,36,50,17,43,62,59,49,46,64,56,36,48,74,75,53,33,34
ENSG00000197790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000183520,1287,1826,947,2418,2838,2803,1449,1306,2284,1362,1864,1805,1485,1169,1460,1423,1556,1469,760,1219,1299,1275,1653,1540
ENSG00000256349,204,260,190,361,387,368,248,225,249,246,308,325,456,466,446,413,479,426,324,467,470,429,519,481
ENSG00000158525,0,2,3,0,4,0,0,1,0,1,2,3,2,2,6,2,3,3,1,2,3,3,3,1
ENSG00000170860,444,943,777,1080,1640,1848,986,891,1115,324,883,901,1230,1053,1382,1167,1128,1123,675,1198,1082,1182,1226,1214
ENSG00000105996,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,0,0,0,4,0,0,0,1
ENSG00000064419,558,910,685,1376,1477,1542,855,892,1051,592,1284,1278,1687,1463,1684,1713,1651,1604,1124,1591,1621,1526,1663,1706
ENSG00000187764,60,65,49,79,110,74,68,77,66,39,90,101,139,119,119,146,125,109,69,125,160,107,118,131
ENSG00000151023,0,0,0,0,1,1,0,0,0,0,1,1,3,3,2,1,5,2,5,3,1,1,2,4
ENSG00000273706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000178726,122,165,56,162,161,131,107,129,134,209,130,131,116,110,106,157,157,209,84,100,124,97,182,131
ENSG00000165983,144,245,182,387,364,419,228,179,279,145,361,356,165,160,142,160,183,183,88,185,161,198,197,202
ENSG00000134686,175,228,132,254,334,302,221,177,211,203,203,302,788,681,832,763,794,885,497,737,766,751,979,886
ENSG00000125817,304,345,256,436,483,432,335,359,329,487,317,430,1644,1550,1599,1493,1594,1427,1063,1536,1641,1442,1566,1857
ENSG00000145147,15,38,18,61,44,54,25,28,33,29,35,47,65,54,55,43,65,59,37,48,59,53,56,76
ENSG00000115594,29,74,36,59,64,80,61,38,71,43,50,60,180,152,166,193,246,336,110,147,213,174,345,259
ENSG00000182938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000138036,79,91,66,157,148,216,81,92,124,41,136,111,109,84,101,83,90,77,60,110,105,86,125,122
ENSG00000196104,86,141,89,247,228,214,157,100,140,35,173,159,113,110,113,104,109,123,83,106,120,100,118,130
ENSG00000125648,35,57,64,101,105,90,59,74,73,47,65,91,2378,2158,2389,2223,2304,2288,1465,2208,2301,2193,2419,2422
ENSG00000071894,644,699,483,761,1002,954,625,586,641,627,729,827,1801,1678,1709,1798,1687,1607,1173,1761,1966,1635,1881,1962
ENSG00000213523,551,719,431,788,884,1014,561,617,754,739,719,739,1115,1042,1116,1114,1177,1166,675,960,1144,973,1234,1341
ENSG00000168917,152,286,178,460,437,438,255,228,333,207,341,341,288,231,310,343,328,375,203,279,355,244,368,383
ENSG00000128283,159,203,84,193,251,188,126,172,160,193,149,210,1317,1054,1128,1327,1272,1317,707,1095,1439,931,1492,1422
ENSG00000116030,171,286,167,358,465,509,234,173,321,187,342,374,286,191,265,248,240,227,116,221,208,248,272,253
